SEASON,SCORINGPERIOD,WEEK_NM,TEAM,TEAMNAME,SCORE,OPPONENT,OPPONENTNAME,OPPONENTSCORE,OUTCOME
2017,1,1,3,JMT,117.8,7,Kyle,83.7,W
2017,1,1,7,Kyle,83.7,3,JMT,117.8,L
2017,1,1,9,Schwartz,90.7,11,Tony,87.6,W
2017,1,1,11,Tony,87.6,9,Schwartz,90.7,L
2017,1,1,2,Brent,109.2,5,Tim,88.3,W
2017,1,1,5,Tim,88.3,2,Brent,109.2,L
2017,1,1,10,Goss,83.6,12,Paul,101.5,L
2017,1,1,12,Paul,101.5,10,Goss,83.6,W
2017,1,1,6,Jeremy,98.9,8,Thomas,53.3,W
2017,1,1,8,Thomas,53.3,6,Jeremy,98.9,L
2017,1,1,1,Scott,117.1,4,JJ,97.3,W
2017,1,1,4,JJ,97.3,1,Scott,117.1,L
2017,2,2,9,Schwartz,110.3,7,Kyle,126.7,L
2017,2,2,7,Kyle,126.7,9,Schwartz,110.3,W
2017,2,2,11,Tony,70.9,3,JMT,112.8,L
2017,2,2,3,JMT,112.8,11,Tony,70.9,W
2017,2,2,5,Tim,119.6,12,Paul,132.0,L
2017,2,2,12,Paul,132.0,5,Tim,119.6,W
2017,2,2,10,Goss,101.7,2,Brent,79.2,W
2017,2,2,2,Brent,79.2,10,Goss,101.7,L
2017,2,2,1,Scott,125.9,6,Jeremy,112.6,W
2017,2,2,6,Jeremy,112.6,1,Scott,125.9,L
2017,2,2,4,JJ,72.4,8,Thomas,123.5,L
2017,2,2,8,Thomas,123.5,4,JJ,72.4,W
2017,3,3,3,JMT,75.3,9,Schwartz,84.8,L
2017,3,3,9,Schwartz,84.8,3,JMT,75.3,W
2017,3,3,11,Tony,118.8,7,Kyle,120.9,L
2017,3,3,7,Kyle,120.9,11,Tony,118.8,W
2017,3,3,10,Goss,105.9,5,Tim,94.0,W
2017,3,3,5,Tim,94.0,10,Goss,105.9,L
2017,3,3,2,Brent,106.8,12,Paul,83.9,W
2017,3,3,12,Paul,83.9,2,Brent,106.8,L
2017,3,3,1,Scott,154.6,8,Thomas,113.5,W
2017,3,3,8,Thomas,113.5,1,Scott,154.6,L
